User ID;Rank;Skipper;Team;Points
59fed23ee0750e372d69452f;1;Koky - PVe;Team PVe;130083
5e8df6b8080c8cbd4514ea2e;2;BlackPanther BSP;Black Sailing Project;122593
5fa9273ba73ee0501838d7a0;3;Nico_jud - PVe;Team PVe;121642
59c0d503b395b292ed620fa4;4;Arylla / INC-BUREAU VALLEE;INC - Bureau Vallée;120198
5fa79ce8a73ee0501802808c;5;Lohann la Terreur - BFC;Team BFC;119270
5ea19517080c8cbd451c79b8;6;BigLuD-EZ TheSeaCleaners ;ExtaZ Sea-The SeaCleaners;118273
59c95020b395b292ed62bcbf;7;Papichulo TORC / YWCN;TORC YesWeCanNette;116515
59c16f64b395b292ed621d2e;8;Tipapacheri BSP;Black Sailing Project;116039
59fef2ace0750e372d69768d;9;Sem la Guédonne - BFC;Team BFC;115176
59caa400b395b292ed62cea8;10;Rostef;InternationalOffshoreTeam;111153
59fef5bae0750e372d697b99;11;Flying Phil /INC-BUREAU VALLEE;INC - Bureau Vallée;110252
59f4ca29e0750e372d679c06;12;pogo761-EZ TheSeaCleaners;ExtaZ Sea-The SeaCleaners;109861
5bdab801517022fc09d3fb40;13;bigoudmat;CrashOubidou;108884
5eccecee8e4c1d3e55e6e7d1;14;falcon470 / INC-BUREAU VALLEE;INC - Bureau Vallée;108658
5fa70bafa73ee050185468d1;15;Bro-Naoned - BSP;Black Sailing Project;108625
61828ce12a05eec971f39d9f;16;MC kele / INC-BUREAU VALLEE;INC - Bureau Vallée;108421
5fa6822aa73ee05018f61d03;17;El_Double_Ve;CrashOubidou;108240
59fdc1ace0750e372d68d383;18;LaGambasSansPlastic-TORC/YWCN;TORC YesWeCanNette;107672
5bdf02de517022fc09d77461;19;Bayadère / INC-BUREAU VALLEE;INC - Bureau Vallée;107115
62f8f6a6bff43b1b68306d29;20;Goldman / INC-BUREAU VALLEE;INC - Bureau Vallée;106945
59fc6267e0750e372d687df1;21;Cerise30 - BSP;Black Sailing Project;106305
5fa16c5fa73ee05018f037de;22;EcLaiR-BFC;Team BFC;105453
5ac0c4ee7b296eaadfcf3d51;23;Ced007 / INC-BUREAU VALLEE;INC - Bureau Vallée;105321
5fa4a228a73ee0501824c710;24;PassTaga-TPN;Alliance AVR / TPN;103897
59c0e543b395b292ed6210ed;25;MousseLine BSP;Black Sailing Project;103477
5fa7a9e8a73ee05018e83261;26;DPS-Berc BSP;Black Sailing Project;103284
5faafaeba73ee050182a9a22;27;Isbjorn45 / LSV-Trustable;LSV - Trustable;103114
5fa7dbd4a73ee05018785172;28;MySky - PVe;Team PVe;102920
60733f3737e7cb7ea8caee3d;29;SilverWings07; ;102486
5a00782f7b296eaadfc09ab5;30;Pier123 - BSP;Black Sailing Project;102381
5f5487d652e859ef03015403;31;Luth / INC-BUREAU VALLEE;INC - Bureau Vallée;102125
59c0f22ab395b292ed6211c0;32;gameuro 974-EZ TheSeaCleaners;ExtaZ Sea-The SeaCleaners;102074
5f92b3f1a73ee05018206053;33;Tumi Biscotte / INC-BUREAU VALLEE;INC - Bureau Vallée;101718
5dff781798b1b8ca595fbdb2;34;Viper640;InternationalOffshoreTeam;101699
5fa7eee8a73ee05018adc41b;35;MAMY.85 - TORC / YWCN;TORC YesWeCanNette;101223
